Product Name,Product ID,Listing Price,Sale Price,Discount,Brands,Rating,Reviews,Brand,New Brands
Men's adidas Swim Salon Slippers,CM0049,1499,899,40,Adidas,2.4,83,Adidas CORE / NEO,1
Men's adidas Running Kollide Shoes,CL7548,4799,2399,50,Adidas,3.9,68,Adidas CORE / NEO,1
MEN'S ADIDAS OUTDOOR SIKI SHOES,CK1088,5599,2799,50,Adidas,3.5,73,Adidas SPORT PERFORMANCE,1
Men's adidas Running Weave Shoes,CL7263,4999,2499,50,Adidas,3.6,50,Adidas CORE / NEO,1
Men's adidas Running Stargon 1.0 Shoes,CL7483,4599,2299,50,Adidas,5,61,Adidas CORE / NEO,1
WOMEN'S ADIDAS SPORT INSPIRED RUN 70S SHOES,F34340,6599,3299,50,Adidas,2.2,35,Adidas CORE / NEO,1
Men's adidas Sport Inspired Factor Shoes,CL7590,4299,2149,50,Adidas,4.4,98,Adidas CORE / NEO,1
Men's adidas Outdoor Andorian Shoes,CM0030,4599,2299,50,Adidas,4,49,Adidas SPORT PERFORMANCE,1
Men's adidas Running Raddis 1.0 shoes,CL7468,5599,2799,50,Adidas,1.5,50,Adidas CORE / NEO,1
Women's adidas Sport Inspired Cloudfoam Pure Shoes,EE8076,5599,3359,40,Adidas,2.9,52,Adidas CORE / NEO,1
